HATCHERY Fall Chinook,WILD  Coho,WILD  Pink,WILD Odd Year Pink
190,234,188,196
190,234,188,198
190,234,188,199
190,234,188,199
190,234,188,200
190,234,196,202
190,234,196,203
198,234,196,203
200,234,196,203
201,234,196,203
201,234,196,203
201,234,196,203
201,234,196,204
201,234,196,204
201,234,196,204
201,234,196,204
201,234,197,205
201,234,197,205
201,234,197,206
201,234,197,206
202,234,197,206
202,234,198,206
202,234,201,206
202,234,201,206
202,234,201,206
202,253,201,206
202,253,201,207
202,253,202,207
204,253,202,207
205,253,202,208
205,253,202,209
205,254,202,209
205,254,203,209
205,254,203,209
205,254,203,209
205,254,203,209
205,254,203,209
205,254,204,210
205,254,205,210
205,254,205,210
206,254,205,210
206,254,205,211
206,254,205,212
206,254,205,213
207,254,205,213
207,254,205,213
207,254,206,213
207,254,206,213
207,255,206,213
207,255,206,213
207,255,206,214
208,255,206,214
208,255,207,214
208,255,207,214
208,255,207,215
208,255,207,215
208,255,207,215
209,255,207,215
209,256,207,215
209,256,207,215
209,256,207,216
209,256,207,217
209,256,207,218
209,256,207,219
210,256,207,219
210,256,207,219
211,256,208,220
211,256,208,221
211,256,208,222
211,256,209,223
211,256,209,223
211,256,209,223
212,256,210,225
212,256,210,228
212,256,210,228
212,256,210,228
213,256,210,228
213,256,210,228
213,256,210,228
213,256,212,228
213,256,212,228
213,256,213,228
214,256,213,228
214,257,213,229
214,257,213,229
215,257,213,229
215,257,213,230
215,257,213,230
215,257,213,230
215,257,213,230
215,257,213,230
215,257,214,230
215,257,214,231
215,257,214,231
215,257,214,233
215,257,215,234
215,257,215,235
215,257,215,236
215,257,216,239
215,257,216,242
215,260,217,242
215,260,217,243
215,260,217,245
215,260,217,246
215,260,218,248
216,260,218,248
216,260,218,248
216,260,218,248
216,260,218,248
216,260,218,248
216,260,218,248
216,260,218,248
216,260,218,248
216,260,219,248
216,262,219,249
217,262,219,249
217,262,219,249
217,262,219,249
217,262,219,249
217,262,219,249
217,262,219,249
217,262,219,249
217,262,219,249
217,262,219,249
217,262,219,249
218,262,219,249
218,262,219,249
218,262,219,249
218,263,219,251
218,263,219,251
218,263,219,252
218,263,219,252
218,263,219,252
218,263,219,252
218,263,219,252
218,263,219,252
218,263,220,252
218,263,221,252
218,263,221,252
219,263,222,252
219,263,222,252
219,263,222,252
219,263,222,252
219,263,224,252
219,263,225,252
219,263,225,252
220,263,226,252
220,263,227,253
220,263,228,253
220,263,228,253
220,263,228,253
220,263,228,253
220,263,228,254
220,263,228,255
220,263,228,255
220,263,228,256
220,263,228,256
220,263,228,256
221,263,228,256
221,263,228,257
221,263,228,257
221,263,228,258
221,263,228,258
221,263,228,258
221,263,229,261
221,263,229,262
221,263,229,262
222,263,229,262
222,263,229,262
222,263,229,262
222,263,229,262
222,263,229,262
222,263,229,262
222,263,229,263
223,263,230,264
223,263,230,264
223,263,230,264
223,263,230,264
223,263,230,264
223,263,230,265
223,263,230,265
223,263,230,265
223,263,230,265
224,263,230,265
224,263,230,265
225,263,230,266
225,263,230,266
225,263,230,267
225,263,230,267
225,263,230,267
225,263,233,267
225,263,234,267
225,263,234,267
225,263,234,267
225,263,234,267
225,263,234,267
225,263,234,268
225,263,234,268
225,263,234,269
226,263,234,269
226,263,234,
226,263,234,
226,263,236,
226,263,236,
226,263,236,
226,263,236,
226,263,236,
226,263,236,
226,263,237,
226,263,237,
227,263,237,
227,263,237,
227,263,238,
227,263,240,
227,263,240,
227,263,240,
227,263,240,
227,263,240,
227,263,240,
227,263,240,
227,263,240,
227,263,240,
228,263,240,
228,263,240,
228,263,240,
228,263,240,
228,263,240,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,263,241,
228,264,241,
228,264,241,
228,264,241,
229,264,241,
229,264,241,
229,264,241,
229,264,241,
229,264,242,
229,264,242,
229,264,242,
229,264,242,
229,264,242,
229,264,243,
229,264,243,
229,264,244,
229,264,244,
229,264,244,
229,264,244,
229,264,248,
230,264,248,
230,264,248,
230,264,248,
230,264,248,
230,264,248,
230,264,248,
230,264,251,
