WILD Fall Chinook,HATCHERY Fall Chinook,WILD  Coho,HATCHERY  Coho,WILD  Chum
253,235,269,260,279
253,235,273,260,279
253,240,275,260,279
255,253,275,260,279
264,253,275,260,279
264,253,275,260,279
264,253,275,260,279
264,253,275,260,279
264,253,275,260,279
264,253,275,260,279
264,253,275,260,279
264,253,275,260,279
264,253,275,260,279
264,254,275,260,279
264,254,275,260,279
264,255,275,260,279
264,255,275,260,279
264,255,275,260,279
264,255,275,260,279
264,255,275,260,279
265,255,275,260,279
266,255,275,260,279
267,255,278,260,279
267,255,278,260,279
267,255,278,260,279
267,255,278,260,279
269,255,278,260,279
269,255,278,260,279
269,255,278,260,279
269,255,278,260,279
269,255,278,260,279
269,255,278,260,279
269,255,278,260,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,255,278,265,279
269,256,278,265,279
269,256,278,265,279
269,256,278,265,286
269,256,278,265,286
269,256,278,265,286
269,256,278,265,286
269,256,278,265,286
269,256,278,269,286
269,256,278,269,286
269,256,278,269,286
269,256,278,269,286
269,256,278,269,288
269,259,278,269,288
269,259,278,269,288
269,260,278,269,289
269,260,278,269,289
269,260,278,269,289
269,260,278,269,289
269,260,278,272,289
269,260,278,272,289
269,260,278,272,289
269,260,278,272,289
269,260,278,272,289
269,260,278,272,289
269,260,278,272,289
269,260,278,272,289
269,260,278,272,289
269,260,278,272,289
269,260,278,272,291
269,260,278,272,291
269,260,278,272,292
269,260,278,272,292
269,260,278,272,292
269,260,278,272,292
269,260,278,272,292
269,260,278,275,292
269,260,278,275,292
269,260,278,275,292
269,260,278,275,292
269,260,278,275,292
269,260,278,275,292
269,260,278,275,292
269,260,278,275,292
269,260,278,275,292
269,260,278,275,292
269,260,278,275,292
270,260,278,275,292
270,260,278,275,292
270,260,278,275,292
270,260,278,275,292
270,260,278,275,292
270,260,278,275,292
270,260,278,277,292
270,260,278,277,292
270,260,278,277,292
270,260,278,277,293
270,260,278,277,293
270,260,278,277,293
270,260,278,277,293
270,260,278,277,293
270,260,278,278,293
270,261,278,278,293
270,261,278,278,293
270,262,278,278,293
270,262,278,278,293
270,263,278,278,293
270,263,278,278,293
270,264,278,278,293
270,264,278,278,293
270,264,278,278,293
270,264,278,278,293
270,264,278,278,293
270,264,278,278,293
270,264,278,278,293
271,264,280,278,293
272,264,280,278,293
272,264,280,278,293
272,264,280,278,293
272,264,280,278,293
272,264,280,278,293
272,264,280,278,293
272,265,280,278,293
272,265,280,278,293
272,265,280,278,293
272,265,280,278,293
272,265,280,278,293
272,265,281,278,293
272,265,281,278,293
272,265,281,278,293
272,265,281,278,293
272,265,281,278,293
272,265,281,278,293
272,265,281,278,293
272,265,281,278,294
272,265,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,266,281,278,294
272,267,281,278,294
272,267,281,278,294
272,267,281,278,294
272,267,281,278,294
272,267,281,278,294
272,267,281,278,294
272,267,281,278,294
272,267,281,278,294
273,267,281,278,294
273,267,281,278,294
273,267,281,278,294
273,267,281,278,294
273,267,281,278,294
273,267,281,278,294
273,267,282,278,294
275,267,282,278,294
