HATCHERY  Coho,HATCHERY Late Coho
011,001
011,001
011,001
011,001
011,001
011,001
011,001
011,001
011,001
011,001
011,001
011,001
011,001
011,001
011,001
011,001
011,001
011,003
011,003
011,003
011,007
011,007
011,007
011,007
011,007
011,007
011,007
018,008
018,008
018,008
018,008
018,008
018,008
018,008
018,008
018,009
018,009
018,009
018,009
018,009
018,009
018,009
018,009
018,009
018,009
018,012
018,012
018,012
018,012
018,012
018,012
018,012
018,012
018,012
018,013
025,013
025,013
025,013
032,013
032,013
039,013
039,013
039,013
039,013
039,013
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,014
039,015
039,015
039,016
039,016
039,016
039,016
039,016
039,018
039,018
039,018
039,018
039,018
039,018
046,018
046,018
053,019
061,019
061,019
061,019
061,019
061,019
061,019
061,019
061,019
061,019
061,019
061,019
061,019
061,019
061,020
061,020
061,022
061,022
061,022
061,022
061,022
061,022
061,022
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
061,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
292,023
294,023
294,023
294,023
294,023
294,023
294,023
294,023
294,023
294,023
294,023
296,023
296,023
296,023
296,023
296,023
297,023
297,023
297,023
297,023
297,023
298,023
298,023
298,023
298,027
298,027
298,027
298,027
298,027
298,030
298,030
300,030
300,030
300,030
300,032
300,032
300,032
300,032
300,032
300,032
300,032
300,032
300,032
300,032
300,032
300,032
300,032
300,032
300,032
300,032
301,032
301,032
301,032
301,032
301,032
301,036
301,036
302,036
302,036
302,036
303,036
303,036
305,036
305,036
305,036
305,036
305,036
305,036
305,036
305,036
305,036
305,036
305,036
305,040
305,042
307,042
307,042
307,042
308,042
308,042
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
308,043
309,048
309,048
309,048
309,048
309,048
309,048
309,048
309,048
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
309,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
310,061
311,061
311,061
311,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
312,061
313,061
313,061
313,061
313,061
313,061
313,061
314,061
314,061
314,061
314,061
314,061
314,061
315,061
315,061
315,061
316,061
316,061
316,061
316,061
317,061
318,061
318,061
318,061
319,061
319,061
319,061
319,342
319,342
319,342
319,345
319,345
319,345
319,345
319,345
319,345
319,345
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
319,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
320,353
321,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
324,353
327,355
327,355
327,355
327,355
327,355
327,355
327,355
327,355
327,355
327,355
327,355
327,355
327,361
327,361
327,361
327,361
327,361
327,361
327,361
327,361
327,361
327,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
328,361
329,361
329,361
329,361
331,361
333,361
333,361
333,361
333,361
333,361
333,361
333,361
334,364
334,364
334,364
334,364
334,364
334,364
334,364
334,364
334,364
334,364
334,364
335,364
338,364
343,364
348,364
348,364
348,364
348,364
348,364
348,364
348,364
355,364
355,364
355,364
355,364
355,364
355,364
355,364
355,364
355,364
355,364
355,364
355,364
355,364
355,364
355,364
362,364
362,364
