WILD Fall Chinook,HATCHERY Fall Chinook,WILD Type S Coho,HATCHERY Type S Coho
249,252,254,255
249,253,254,255
249,253,256,257
249,253,256,257
249,253,256,257
249,254,256,257
249,254,256,257
249,254,256,257
249,254,256,257
249,254,256,257
249,254,256,257
249,254,256,257
250,254,256,257
250,255,256,257
250,255,256,257
250,255,256,257
250,255,256,260
250,255,256,260
251,255,256,260
251,255,256,260
251,255,256,260
251,256,256,260
251,256,260,260
251,256,260,260
253,256,261,260
253,256,261,260
254,256,261,260
254,256,261,260
254,256,262,260
254,256,262,260
254,256,262,260
254,256,262,260
254,256,264,260
254,257,264,261
255,257,264,261
255,257,264,261
255,257,264,261
255,257,264,261
255,257,264,261
255,257,264,261
256,257,264,261
256,257,264,261
256,257,264,261
256,257,264,261
256,257,264,261
256,257,264,261
256,258,264,261
256,258,264,261
256,258,264,261
256,258,264,261
256,258,264,261
256,258,264,261
256,258,264,261
256,258,264,261
256,258,264,261
256,258,264,261
256,258,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,259,264,261
257,260,264,261
257,260,264,262
258,260,267,262
258,260,267,262
258,260,267,262
258,260,267,262
258,260,267,262
259,260,267,262
259,260,267,262
259,260,267,262
259,260,267,262
259,260,267,262
259,260,267,262
259,260,267,263
259,260,267,263
259,260,267,263
260,260,269,263
260,260,269,263
260,260,269,263
260,260,269,263
260,260,269,264
261,260,269,264
261,260,269,264
261,260,269,264
261,260,270,264
261,260,270,264
261,260,270,264
261,260,270,266
261,260,270,266
261,260,270,266
261,261,270,266
261,261,270,266
261,261,270,266
261,261,270,267
262,261,271,267
262,261,271,267
262,261,271,267
262,261,271,267
262,261,271,267
263,261,271,267
263,261,271,267
263,261,271,267
263,261,271,267
263,261,272,267
263,261,272,267
263,261,272,267
263,261,272,267
263,261,272,270
264,261,272,270
264,261,272,270
264,261,272,270
264,261,272,270
264,261,273,270
264,261,273,270
264,261,273,270
264,261,273,270
264,261,273,270
264,261,273,270
265,261,273,270
265,261,273,270
265,261,273,270
265,261,273,270
265,262,273,270
266,262,276,270
266,262,276,270
266,262,276,270
266,262,276,270
266,262,276,270
266,262,276,270
266,262,277,270
266,262,277,270
266,262,277,270
266,262,277,270
266,262,277,270
266,262,277,270
266,262,277,270
266,262,277,270
266,262,277,270
266,262,277,270
266,262,277,270
266,262,277,272
266,262,277,272
266,262,278,272
266,262,278,272
266,262,278,272
266,262,278,272
266,262,278,272
266,262,279,273
266,262,279,273
266,262,279,273
266,262,279,273
266,263,281,273
266,263,281,273
266,263,281,273
266,263,281,273
266,263,281,273
266,263,281,273
267,263,281,273
267,263,281,273
267,263,281,275
267,263,282,275
267,263,282,275
267,263,282,275
267,263,282,275
267,263,282,275
267,263,282,275
267,263,282,275
267,263,282,275
268,263,282,275
268,263,282,275
268,263,282,275
268,263,282,275
268,263,282,279
268,263,282,279
268,263,282,280
268,263,282,280
268,263,282,280
268,263,282,280
268,263,282,280
268,263,282,280
269,264,282,280
269,264,282,280
269,264,282,280
269,264,284,280
269,264,284,280
269,264,284,280
269,264,284,280
269,264,284,280
270,264,287,280
