WILD Summer Steelhead,HATCHERY Summer Steelhead
067,069
067,071
073,072
073,073
083,083
083,084
084,087
084,088
085,089
085,090
086,090
086,091
086,091
086,091
086,091
086,092
086,092
086,092
086,092
086,092
086,092
088,092
088,092
088,093
088,093
088,093
088,093
088,094
090,094
090,094
090,094
090,094
090,094
090,095
091,095
091,095
091,095
091,095
091,096
091,096
091,096
091,096
091,096
091,097
091,097
091,098
091,098
091,098
091,098
092,098
092,098
092,098
092,098
092,098
092,098
093,098
093,098
093,098
093,099
094,099
094,099
094,099
094,099
094,099
094,099
094,099
094,099
094,099
094,099
094,099
094,099
095,100
095,100
095,100
095,101
096,101
096,101
097,101
097,102
098,102
098,103
098,103
098,103
098,103
098,103
098,103
098,103
098,103
099,103
099,103
099,103
099,104
099,104
099,104
099,104
099,104
099,104
099,106
099,106
100,107
100,107
100,107
100,107
100,107
100,108
100,108
100,108
100,108
100,108
100,108
100,108
101,108
101,108
103,109
103,109
104,109
104,109
105,110
105,110
106,110
106,110
107,110
107,110
108,110
108,110
109,110
109,110
110,111
110,111
110,111
110,111
110,111
110,111
110,111
110,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,112
112,112
112,112
112,112
112,112
113,112
113,112
113,112
113,112
113,112
113,113
115,113
115,113
115,114
115,114
115,114
115,115
115,115
115,115
116,115
116,115
117,115
117,116
117,116
117,116
117,116
117,116
118,116
118,116
118,116
118,117
119,117
119,117
120,117
120,117
120,117
120,118
121,118
121,118
121,118
121,118
123,119
123,119
123,121
123,121
124,121
124,122
124,124
124,124
124,124
124,124
124,124
124,124
124,125
124,128
124,130
124,130
124,130
130,143
130,
