WILD Spring Chinook,WILD Summer Chinook,HATCHERY Spring Chinook,HATCHERY Summer Chinook,WILD Summer Steelhead,HATCHERY Summer Steelhead
130,180,123,180,137,031
130,180,124,180,137,072
130,180,125,180,137,076
130,180,130,180,137,083
130,180,130,180,137,086
131,180,130,180,137,087
131,180,130,181,137,093
131,180,131,181,137,093
131,181,131,181,137,094
131,181,131,181,137,096
132,181,131,181,137,096
132,181,131,181,137,097
132,181,131,181,137,097
132,181,132,181,137,097
132,181,132,181,137,097
132,181,132,181,137,099
132,181,132,181,137,099
132,181,132,182,137,099
132,182,132,182,137,103
132,182,132,182,137,103
132,182,137,182,137,103
132,182,137,182,137,103
137,182,138,182,137,105
137,182,139,182,137,105
137,182,139,183,137,106
137,182,139,183,137,110
137,183,139,183,137,110
137,184,139,183,137,112
138,187,139,184,137,112
138,187,139,184,137,112
139,187,139,187,137,112
139,187,139,187,137,112
139,187,139,187,137,114
139,187,139,187,137,115
139,187,139,187,137,115
139,187,139,187,137,115
139,187,139,187,137,117
139,187,139,187,137,118
139,187,139,187,137,118
139,188,139,187,137,118
139,188,139,187,137,118
139,188,139,187,137,118
139,188,139,187,137,118
139,188,139,187,137,125
139,188,139,187,137,131
139,188,139,187,137,133
139,188,139,187,137,135
139,189,139,188,137,137
139,189,139,188,137,137
139,189,139,188,137,137
139,189,139,188,138,137
144,189,139,188,138,137
144,189,139,188,138,137
144,189,144,188,138,137
144,189,144,188,138,137
144,190,144,188,138,137
144,191,144,188,138,137
144,191,144,188,138,137
144,191,144,188,138,137
144,191,144,188,138,137
144,191,144,188,138,137
144,192,144,188,138,137
144,192,144,188,138,137
144,192,144,188,138,137
144,192,144,188,138,137
144,192,144,188,138,137
144,192,144,188,138,137
144,192,144,188,138,137
145,192,144,188,138,137
145,193,144,188,138,137
145,193,145,189,138,137
145,193,145,189,138,137
145,193,145,189,138,137
145,193,145,189,138,137
145,193,145,189,138,137
145,193,145,189,138,137
145,193,145,189,138,137
145,193,145,189,138,137
145,193,145,189,138,137
145,193,145,189,138,137
145,193,145,189,138,137
145,193,145,189,138,137
145,194,146,189,138,137
146,194,146,190,138,137
146,194,146,190,138,137
146,194,146,190,138,137
146,194,146,190,138,137
146,194,146,190,138,137
146,194,146,190,138,137
146,194,146,191,138,137
146,194,146,191,138,137
146,194,146,191,138,137
146,194,146,191,138,137
146,194,146,191,138,137
148,194,146,191,138,137
150,194,146,191,138,137
152,195,146,191,138,137
152,195,146,191,138,137
152,195,148,192,138,137
152,195,148,192,138,137
152,195,148,192,213,137
152,195,150,192,213,137
152,195,150,192,213,137
152,195,150,192,214,137
152,195,152,192,214,137
152,195,152,192,214,137
152,195,152,192,214,137
152,195,152,192,214,137
152,195,153,192,214,137
152,195,153,193,214,137
153,196,153,193,214,137
153,196,153,193,214,137
153,196,153,193,214,137
153,196,153,193,214,137
153,196,153,193,214,137
153,196,153,193,214,137
153,196,153,193,214,137
153,196,153,193,214,137
153,196,153,193,215,137
153,196,153,193,215,137
153,197,153,193,215,137
154,197,153,193,215,137
154,197,154,193,215,137
155,197,154,194,215,137
155,197,156,194,215,137
155,197,156,194,216,137
156,197,156,194,216,137
156,197,156,194,216,137
156,197,156,194,216,137
156,197,156,194,217,137
156,197,156,194,217,137
156,197,156,194,218,137
157,197,156,194,218,137
157,197,156,194,218,137
157,197,156,194,219,137
157,197,156,194,219,137
157,197,157,194,219,137
157,197,157,194,219,137
157,197,157,194,219,137
157,197,157,195,219,137
157,197,157,195,219,137
157,197,157,195,220,137
157,197,157,195,220,137
157,197,157,195,220,137
157,197,157,195,220,137
157,197,157,195,220,137
157,198,157,195,220,137
157,198,157,195,220,207
157,198,157,195,220,213
157,198,157,195,220,213
157,198,158,195,221,214
157,198,158,195,221,214
157,198,158,195,221,214
157,198,158,195,221,214
157,198,158,195,221,215
157,198,158,195,221,215
158,198,158,195,221,215
158,198,158,195,221,216
158,198,158,195,221,216
158,198,158,195,221,217
159,198,158,195,222,217
159,198,158,195,224,218
159,198,158,195,224,219
159,198,158,195,224,219
159,198,158,195,224,219
159,199,158,195,224,220
159,199,158,195,226,220
159,199,158,195,226,220
162,199,158,196,226,220
162,199,158,196,226,220
162,199,159,196,226,220
162,199,159,196,227,221
163,199,160,196,227,221
164,199,160,196,227,221
164,199,160,196,227,221
164,199,160,196,227,221
164,199,160,196,227,221
164,199,160,196,228,221
164,199,160,196,228,222
165,200,160,196,228,222
165,200,160,196,228,222
165,200,160,196,228,222
165,200,160,196,228,222
165,200,163,196,228,222
165,200,163,196,228,222
165,200,163,197,228,223
165,200,163,197,228,223
165,200,163,197,228,223
165,200,164,197,228,223
169,200,164,197,228,224
170,200,164,197,228,224
171,200,164,197,228,224
171,200,164,197,229,224
171,200,164,197,229,224
172,200,164,197,229,224
172,200,165,197,229,225
172,200,165,197,229,225
,200,165,197,229,225
,200,165,197,229,225
,201,165,197,229,225
,201,,197,229,225
,201,,197,229,226
,201,,197,229,226
,201,,197,231,226
,201,,197,231,226
,201,,197,231,226
,201,,197,231,226
,201,,197,231,226
,201,,197,231,227
,201,,198,231,227
,201,,198,232,227
,201,,198,232,227
,201,,198,233,227
,201,,198,233,228
,201,,198,233,228
,201,,198,233,228
,201,,198,233,228
,201,,198,233,228
,201,,198,233,228
,201,,198,234,228
,202,,198,234,228
,202,,198,234,228
,202,,198,234,228
,202,,198,234,228
,202,,198,234,228
,202,,198,234,229
,203,,198,234,229
,203,,198,235,229
,203,,198,235,230
,203,,198,235,230
,203,,199,235,231
,203,,199,235,231
,203,,199,235,231
,203,,199,235,231
,203,,199,235,231
,203,,199,235,231
,203,,199,235,232
,204,,199,235,232
,204,,199,235,232
,205,,199,238,233
,205,,199,238,233
,205,,199,238,233
,205,,199,238,233
,206,,199,238,233
,206,,199,238,233
,206,,199,238,233
,206,,199,238,233
,206,,200,238,233
,206,,200,239,233
,206,,200,239,234
,206,,200,239,234
,206,,200,240,234
,206,,200,240,234
,206,,200,240,234
,206,,200,240,234
,207,,200,240,234
,207,,200,240,234
,207,,200,240,234
,207,,200,240,234
,207,,200,240,235
,207,,200,240,235
,207,,200,240,235
,207,,200,240,235
,207,,200,240,235
,207,,200,241,235
,207,,200,241,235
,207,,200,241,235
