HATCHERY Fall Chinook,HATCHERY Winter Steelhead,HATCHERY  Coho,HATCHERY  Chum
251,003,258,297
251,003,265,298
251,003,265,300
253,003,265,301
253,003,265,302
253,003,265,302
253,003,265,302
253,003,265,302
253,003,265,303
253,003,265,303
253,003,265,303
253,003,265,303
253,003,265,303
253,003,265,303
253,003,265,304
253,003,265,304
253,003,265,304
253,003,266,304
253,003,266,304
253,003,266,304
253,003,266,304
253,003,266,304
253,003,266,304
257,003,266,304
257,003,266,304
257,003,266,304
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,305
257,003,266,306
257,003,266,306
257,003,266,306
258,003,266,306
258,003,268,306
258,003,268,306
259,003,268,306
259,003,268,306
259,003,268,306
259,003,268,306
259,003,268,306
259,003,269,306
259,003,269,307
259,003,269,307
259,003,269,307
259,003,269,307
259,003,269,307
259,003,269,307
259,003,271,307
259,003,271,307
259,003,271,307
259,003,271,307
259,003,271,307
259,003,271,307
259,003,271,307
259,003,271,307
259,003,271,307
259,003,271,307
260,003,271,307
260,003,271,307
260,003,271,307
260,003,271,307
260,003,272,307
260,003,272,307
260,003,272,307
260,003,272,307
260,003,273,307
260,003,273,307
260,003,273,308
260,003,273,308
260,003,273,308
261,003,273,308
261,003,273,308
261,003,273,308
261,003,273,308
262,003,273,308
262,003,273,308
262,003,273,308
262,003,273,308
262,003,273,308
262,003,273,308
262,003,273,308
262,003,273,309
264,003,273,309
264,003,273,309
264,003,273,309
264,007,273,309
264,007,275,309
264,007,275,309
264,007,275,309
264,007,275,309
264,007,275,309
264,007,275,309
264,007,275,309
264,007,275,309
264,007,275,309
264,007,275,309
264,007,275,309
264,007,276,310
264,007,276,310
264,007,276,310
264,007,276,310
264,007,276,310
265,007,277,310
265,007,277,310
265,007,277,310
265,007,277,310
265,007,277,310
265,007,277,310
265,007,277,310
265,007,279,310
265,007,280,310
265,007,280,310
265,007,280,311
265,007,281,311
265,007,281,311
265,007,281,311
265,007,281,311
265,009,281,311
266,009,281,311
266,009,281,311
266,009,281,311
266,009,281,311
266,009,283,311
266,009,283,311
266,009,283,311
266,009,283,311
266,009,283,311
266,009,283,311
266,009,283,312
266,009,284,312
266,009,284,312
266,009,286,312
266,009,287,312
266,011,288,312
266,011,289,312
267,011,289,312
268,011,289,312
268,011,289,312
268,011,289,312
268,011,289,312
268,011,289,312
269,011,289,312
269,011,289,312
269,011,289,312
269,011,289,312
269,011,289,313
269,011,289,313
269,011,289,313
269,011,289,313
269,011,289,313
269,011,289,313
269,011,289,313
270,011,289,313
270,011,289,313
270,011,289,313
270,011,289,313
270,011,289,313
270,011,289,313
270,011,289,313
270,011,289,313
270,011,289,313
271,011,289,313
271,011,289,313
271,011,289,313
271,011,289,313
271,011,289,313
271,011,289,313
271,011,289,313
271,011,289,314
272,011,289,314
272,011,289,314
272,011,289,314
272,011,289,314
272,011,289,314
272,011,289,314
272,011,289,314
272,011,289,314
272,011,289,314
272,011,289,314
272,011,289,314
272,011,289,314
272,011,289,314
273,011,289,314
273,011,289,314
273,011,289,314
273,011,289,314
273,011,290,314
273,011,290,314
273,011,290,314
273,011,290,314
273,011,290,314
274,011,290,314
274,011,290,314
274,011,290,314
274,011,290,314
274,011,290,314
274,011,290,314
274,011,290,314
274,011,290,314
274,011,290,314
274,011,291,314
274,011,291,314
274,011,291,314
274,011,291,314
274,011,291,314
274,011,291,314
274,011,291,314
274,011,293,314
274,011,293,314
274,011,293,314
274,011,293,314
274,011,293,314
274,011,293,314
274,011,293,314
275,011,293,314
275,011,293,314
275,011,293,314
275,011,293,314
275,011,293,315
275,011,293,315
275,011,293,315
275,011,293,315
275,011,293,315
275,011,293,315
275,011,295,315
275,011,295,315
275,011,295,315
275,011,295,315
275,011,295,315
275,011,295,315
275,011,295,315
275,011,295,315
275,011,295,315
275,013,295,315
275,013,295,315
275,013,295,315
275,013,295,315
275,013,296,315
275,013,296,315
275,013,296,315
275,013,296,316
275,013,296,316
275,013,296,316
275,013,296,316
275,013,296,316
275,013,296,316
275,013,296,316
275,013,296,316
275,013,296,316
275,013,296,316
275,013,296,316
275,016,296,316
275,016,296,316
275,016,296,316
275,016,296,316
275,016,296,316
275,016,296,316
275,016,296,316
275,016,296,316
275,016,296,316
275,016,296,316
275,017,296,317
275,017,296,317
275,017,296,317
275,017,297,317
275,017,297,317
275,017,297,317
275,020,297,317
275,020,297,317
275,020,297,317
275,020,298,317
275,020,298,317
275,020,298,317
275,020,298,317
275,020,298,317
275,021,298,317
275,021,298,317
275,021,298,317
275,021,298,317
275,021,298,317
275,021,298,317
275,022,298,317
275,022,298,317
275,022,298,317
275,022,298,317
275,022,298,317
275,022,298,317
275,022,298,317
275,022,298,317
275,022,298,317
275,022,298,317
276,022,298,317
276,022,298,317
276,023,298,318
276,023,298,318
276,023,298,318
276,023,298,318
276,023,298,318
276,023,298,318
276,028,298,318
276,028,298,318
276,028,298,318
276,028,298,318
276,032,298,318
276,032,299,318
276,032,299,318
276,032,299,318
276,032,299,318
277,032,301,318
277,034,301,318
277,034,301,318
277,034,301,318
277,034,301,318
277,040,301,318
277,040,301,318
277,040,301,318
277,040,301,318
277,046,301,318
277,046,301,319
277,046,301,319
277,046,301,319
277,046,301,319
277,046,301,319
277,057,303,319
277,057,303,319
277,057,303,319
277,057,303,319
277,057,303,319
277,057,303,319
277,057,304,319
277,057,304,319
277,057,304,319
277,057,304,319
277,057,304,319
277,057,304,319
277,059,304,319
277,059,304,319
277,059,304,319
277,059,304,319
277,317,304,319
277,317,304,319
277,317,304,319
277,317,304,319
277,317,304,319
277,317,305,319
277,326,305,319
277,326,305,319
277,326,305,319
277,326,305,319
277,326,305,319
277,326,305,319
277,327,305,319
277,327,305,319
277,327,305,319
277,327,305,319
277,327,305,319
277,327,305,319
277,327,306,319
277,327,306,319
277,327,306,319
277,327,306,319
277,327,306,319
277,327,306,319
277,327,306,319
278,327,306,319
278,327,306,319
278,327,306,319
278,327,306,319
278,327,306,319
278,327,306,319
278,327,306,319
278,327,306,319
278,327,306,319
278,327,306,319
278,327,306,319
278,327,306,319
279,327,306,319
279,327,306,319
279,327,306,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,307,319
279,327,308,319
279,327,308,319
279,327,308,319
279,327,308,319
279,327,308,319
279,327,308,319
279,327,308,319
279,327,309,319
279,327,309,319
279,327,309,319
279,327,309,319
279,327,309,319
279,327,309,319
279,327,309,319
279,327,309,319
279,327,310,319
280,327,310,319
280,327,310,319
280,327,310,320
280,327,310,320
280,327,310,320
280,327,310,320
280,327,310,320
