Year,HATC_Fall_Chinook,WILD_Winter_Steelhead,WILD_Winter-Late_Steelhead,HATC_Winter-Late_Steelhead,WILD__Coho,WILD_Late_Coho,HATC__Coho,HATC_Late_Coho,WILD__Chum
1997,10,0,0,0,0,0,0,0,0
1998,21,120,0,0,0,0,6638,1000,0
1999,0,121,0,0,0,0,0,0,0
2000,0,53,0,0,0,0,0,0,0
2001,0,19,0,0,0,0,0,0,145
2002,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,4,0,0,0,3253,300,16542,2000,56
2011,14,0,26,335,2401,301,8157,3804,175
2012,21,0,11,153,3909,159,3414,1142,1102
2013,4,0,14,101,2013,183,4448,452,564
2014,81,0,12,39,4300,215,14137,3552,167
2015,143,0,23,435,1042,278,2104,2094,1427
2016,5,0,13,584,2115,112,7452,1277,0
2017,14,0,15,178,1811,120,9615,950,0
2018,34,0,46,344,2597,168,3421,1393,0
2019,37,0,14,57,1669,93,2803,368,0
2020,38,0,20,188,1250,5,6788,170,0
