Year,WILD_Winter-Late_Steelhead,HATC_Summer_Steelhead,HATC_Winter_Steelhead,HATC_Winter-Late_Steelhead,HATC_Type N_Coho
2011,0,0,0,0,0
2010,0,0,80,0,0
2012,0,0,0,0,0
1999,0,633,2224,0,222
2003,0,4946,2339,763,111
2000,0,1962,3014,0,91
2006,0,1573,2297,816,11
2007,0,886,460,398,0
2001,0,3510,3437,514,352
2002,0,3402,5060,624,69
2004,0,4363,2266,518,124
2008,0,1623,673,569,0
1997,0,1474,360,0,127
2005,0,1413,1951,6,11
2009,0,1041,496,553,0
1998,0,1209,1427,0,542
2013,0,0,0,0,0
2014,0,884,0,0,0
2015,118,893,0,614,0
2016,168,909,0,336,0
2017,123,858,0,316,0
2018,129,1067,0,705,0
2019,121,0,0,412,0
2020,0,0,0,0,0
