Year,WILD_Spring_Chinook,HATC_Spring_Chinook,HATC_Winter_Steelhead,WILD__Coho,HATC__Coho,HATC_Fall_Coho,WILD_Summer_Pink
2011,40,167,18,580,6725,0,1343
2010,21,92,31,55,1142,0,0
2012,32,68,66,66,5071,0,0
1999,1228,0,0,0,0,2300,0
2003,91,0,17,0,13494,0,0
2000,993,0,6,0,17275,0,0
2006,130,0,42,0,422,0,0
2007,0,0,12,74,1544,0,0
2001,772,0,14,0,20000,0,0
2002,325,0,9,0,4244,0,0
2004,142,0,20,0,2815,0,0
2008,0,0,6,14,380,0,0
1997,1610,0,0,0,0,11500,0
2005,0,0,27,0,1731,0,0
2009,0,0,9,245,8877,0,84
1998,741,0,0,0,0,4000,0
2013,3,13,46,71,3384,0,241
2014,4,4,55,101,2515,0,0
2015,8,39,35,30,744,0,0
2016,5,26,3,27,2378,0,0
2017,7,42,1,107,3431,0,0
2018,0,0,21,0,2266,0,0
2019,0,4,6,5,1119,0,0
2020,1,22,4,2,3047,0,0
