Year,HATC_Fall_Chinook,WILD__Coho,HATC__Coho,WILD_Late_Chum,HATC_Late_Chum
2011,175,35,59,0,0
2010,166,6,56,40,0
2012,141,20,6,0,0
1999,560,0,0,0,118
2003,816,0,0,1078,0
2000,350,0,0,0,26
2006,1023,0,0,443,0
2007,710,0,0,1594,0
2001,508,0,355,2841,0
2002,720,0,0,1247,0
2004,1230,0,1051,2636,0
2008,168,0,0,1358,0
1997,1453,0,3845,0,734
2005,1306,0,0,104,0
2009,57,0,0,2,0
1998,1576,0,1355,0,2244
2013,70,8,30,0,0
2014,128,18,23,0,0
2015,49,9,2,0,0
2016,190,163,17,0,0
2017,58,7,1,0,0
2018,184,30,9,0,0
2019,264,57,11,0,0
2020,350,242,30,0,0
