Year,HATC_Fall_Chinook,HATC_Winter_Steelhead,HATC_Type S_Coho,HATC_Type N_Coho,WILD__Chum
1997,32,3,659,0,0
1998,250,0,72,0,0
1999,111,0,719,0,0
2000,50,410,9825,0,0
2001,0,332,7100,0,362
2002,0,0,590,0,310
2003,11,0,458,0,40
2004,10,300,2011,0,308
2005,0,74,3349,0,128
2006,0,437,950,0,118
2007,7,238,969,0,136
2008,0,171,1712,0,88
2009,0,72,744,0,108
2010,0,234,201,4400,301
2011,0,166,122,2111,295
2012,0,350,45,873,226
2013,36,0,96,814,253
2014,0,102,168,5566,259
2015,0,62,0,891,243
2016,0,0,19,1335,0
2017,0,30,0,156,0
2018,0,0,20,330,0
2019,0,0,15,176,0
2020,0,0,0,0,0
