Year,HATC_Fall_Chinook,HATC__Coho,UNKN__Coho,HATC__Chum,HATC_Fall_Chum,UNKN__Chum,HATC__Pink,UNKN_Odd Year_Pink
2011,662,0,154,11588,0,0,17641,0
2010,1072,0,49,14966,0,0,0,0
2012,5387,0,190,10663,0,0,0,0
1999,10125,55,0,1,25709,0,7639,0
2003,3529,17,0,25246,0,0,27308,0
2000,4841,15,0,0,20665,0,0,0
2006,2875,214,0,13217,0,0,0,0
2007,2449,0,4,8384,0,0,3567,0
2001,4143,959,0,60246,0,0,68385,0
2002,4789,184,0,92614,0,0,0,0
2004,3232,54,0,16776,0,0,0,0
2008,1348,0,18,7254,0,0,0,0
1997,5503,375,0,40724,0,0,13283,0
2005,3151,33,0,14907,0,0,14055,0
2009,2822,0,4,8391,0,0,21663,0
1998,5968,118,0,0,52598,0,0,0
2013,2379,0,67,11514,0,0,4903,0
2014,1899,0,164,21676,0,0,0,0
2015,2157,0,66,21267,0,0,5948,0
2016,3331,57,0,0,0,47237,0,0
2017,3404,20,0,0,0,40442,0,2543
2018,2639,19,0,0,0,35813,0,0
2019,898,49,0,0,0,5805,0,9607
2020,379,30,0,0,0,12529,0,0
