Year,HATC_Fall_Chinook,HATC_Summer_Steelhead,HATC_Winter_Steelhead,WILD__Coho,WILD_Late_Coho,HATC__Coho,HATC_Late_Coho
2011,727,75,488,135,65,6053,3456
2010,277,50,351,75,15,24353,2560
2012,617,125,1261,28,52,8588,1699
1999,278,18,776,0,0,15005,571
2003,614,0,1392,0,0,29185,80
2000,171,164,640,0,0,9892,1
2006,1476,39,1455,0,0,6000,962
2007,363,80,578,0,0,6000,758
2001,175,0,487,0,0,26356,1878
2002,405,11,1327,0,0,10361,3224
2004,474,0,1079,0,0,34845,2047
2008,0,72,94,0,0,0,298
1997,320,27,134,0,0,6651,285
2005,770,0,478,0,0,34329,1192
2009,467,112,176,0,0,17900,5080
1998,294,246,818,0,0,0,2261
2013,331,67,695,193,27,6831,1119
2014,1256,128,729,107,248,9259,1343
2015,1361,176,1464,19,118,1354,1026
2016,627,354,861,10,15,4642,570
2017,1489,140,650,18,25,4200,200
2018,650,502,1232,57,55,5866,358
2019,801,63,258,96,35,2523,150
2020,625,167,628,37,36,2789,274
