Year,WILD_Fall_Chinook,HATC_Fall_Chinook,WILD__Sockeye,WILD__Coho,HATC__Coho
1997,0,3815,113,0,7961
1998,0,4867,194,0,3384
1999,0,2189,35,0,2963
2000,0,3686,8466,0,27225
2001,0,10451,853,0,35259
2002,0,5620,51,0,1284
2003,0,5742,75,0,5593
2004,0,12771,648,0,20617
2005,0,6840,174,0,8704
2006,0,8913,14,0,8698
2007,0,13432,4,0,3272
2008,0,3007,30,0,4175
2009,0,2280,7,0,13812
2010,116,3040,10,14,346
2011,134,2820,10,157,4606
2012,302,4190,0,263,10202
2013,134,2536,193,70,10267
2014,100,1773,2,115,14799
2015,243,3130,2,110,1883
2016,154,2442,0,19,3905
2017,136,3185,0,95,3465
2018,47,1739,0,33,4005
2019,30,2046,0,104,6254
2020,34,2269,0,74,4085
