Year,WILD_Spring_Chinook,WILD_Fall_Chinook,HATC_Spring_Chinook,HATC_Fall_Chinook,WILD_Summer_Steelhead,WILD_Winter_Steelhead,WILD_Winter-Late_Steelhead,HATC_Summer_Steelhead,HATC_Winter_Steelhead,HATC_Winter-Late_Steelhead,WILD_Type S_Coho,WILD_Type N_Coho,HATC_Type S_Coho,HATC_Type N_Coho
2011,172,248,282,2286,578,501,47,1665,200,372,48,243,238,3627
2010,54,229,525,1517,452,907,0,3653,763,88,42,125,1751,7690
2012,81,78,285,1123,467,0,1023,985,516,495,32,131,17,2455
1999,0,0,754,3195,168,46,0,1234,269,0,0,0,1834,1095
2003,214,0,3667,6790,589,1721,0,2162,1275,0,397,919,1542,3246
2000,0,0,988,2451,303,849,0,863,344,0,0,0,1587,6298
2006,148,0,4242,5112,405,1567,0,1803,1302,0,32,257,958,5355
2007,44,0,4729,5126,321,859,0,798,1262,0,14,59,586,1758
2001,0,0,834,3561,438,1002,0,851,1842,0,0,0,5338,15343
2002,132,0,1341,4541,966,1457,0,2053,2200,0,85,234,1414,4083
2004,284,0,3376,4868,470,2199,0,2933,1234,0,51,168,866,3155
2008,78,0,940,7233,331,670,0,426,377,0,20,71,2535,4891
1997,0,0,375,8122,0,0,0,0,7,0,0,0,0,278
2005,405,0,2735,4870,485,1788,0,1239,953,0,0,75,628,1233
2009,98,0,170,4028,354,856,0,1231,488,0,62,195,1533,4420
1998,0,0,364,6307,76,24,0,0,92,0,0,0,1486,426
2013,112,336,855,1549,335,0,751,1003,162,230,37,279,298,3806
2014,56,461,858,4791,597,0,880,3484,414,497,48,231,1225,21977
2015,31,424,2648,233,678,0,1090,5064,794,892,32,49,208,2898
2016,28,204,2838,316,586,0,1135,2516,756,990,4,136,6,5138
2017,56,190,2002,83,259,0,632,398,239,259,8,362,24,729
2018,61,537,1195,93,349,0,559,728,359,126,32,477,93,3418
2019,50,640,672,308,127,0,134,763,109,175,15,202,117,1727
2020,91,918,840,33,212,0,507,797,107,453,34,240,145,4510
