Year,WILD_Spring_Chinook,WILD_Fall_Chinook,HATC_Spring_Chinook,HATC_Fall_Chinook,WILD_Summer_Steelhead,WILD_Winter_Steelhead,HATC_Summer_Steelhead,HATC_Winter_Steelhead,WILD_Type S_Coho,WILD_Type N_Coho,HATC_Type S_Coho,HATC_Type N_Coho
2011,0,17,16,282,2,0,1830,374,212,242,13421,13036
2010,0,2,0,56,0,1,358,603,62,231,10823,18523
2012,4,16,37,47,3,0,863,749,25,193,616,2997
1999,0,300,845,0,2,12,1005,434,0,0,16041,17717
2003,23,207,10,0,23,4,976,410,343,363,30874,15462
2000,0,336,777,0,8,83,2077,687,0,21,17033,22835
2006,0,29,0,1,3,9,679,703,166,101,15170,17665
2007,1,65,2,0,3,13,268,1172,106,239,11618,14805
2001,0,1113,2,0,5,64,1279,3295,523,623,42673,63578
2002,90,130,0,0,5,14,862,1905,192,123,14263,5350
2004,1,33,1,0,9,75,588,263,119,102,10176,7130
2008,1,9,1,0,0,2,302,668,89,78,11325,10372
1997,0,0,0,5,0,1,0,3,0,0,0,12364
2005,0,81,2,0,2,1,505,167,148,124,12550,12505
2009,0,9,0,36,0,2,241,366,83,114,9129,16948
1998,0,324,0,1,6,4,1438,356,0,0,10367,10808
2013,0,12,105,149,1,0,633,308,28,155,11869,9705
2014,0,6,71,171,0,0,381,84,206,303,22722,30526
2015,8,22,208,555,0,0,186,540,39,46,3158,11631
2016,0,5,99,121,1,0,166,655,51,172,11000,12171
2017,2,9,10,91,1,0,205,90,211,152,8080,6663
2018,2,12,301,250,0,0,209,159,27,94,3320,9755
2019,3,11,97,73,0,0,110,27,211,114,5160,4710
2020,5,7,44,142,0,0,225,214,237,502,7495,11361
