Year,WILD_Fall_Chinook,HATC_Fall_Chinook,HATC_Summer_Steelhead,HATC_Winter_Steelhead,HATC_Winter-Late_Steelhead,WILD__Coho,HATC__Coho,WILD__Chum
2011,19,113,235,0,155,16,410,33
2010,49,80,179,0,15,219,1625,0
2012,32,60,297,0,196,22,133,10
1999,0,54,150,40,0,0,220,0
2003,0,136,960,625,0,0,7801,51
2000,0,55,1019,269,0,0,0,0
2006,0,379,422,30,0,0,12,20
2007,0,0,415,12,0,0,0,22
2001,0,61,274,706,0,0,2830,0
2002,0,301,610,1119,0,0,4071,109
2004,0,167,706,363,0,0,1076,205
2008,0,0,433,18,0,0,0,12
1997,0,105,204,20,0,0,110,0
2005,0,236,408,308,0,0,1121,0
2009,0,0,374,0,0,60,0,13
1998,0,392,515,164,0,0,355,0
2013,36,247,273,0,2,95,87,20
2014,20,132,190,0,7,102,1186,0
2015,81,274,573,0,24,51,266,160
2016,72,188,395,0,5,65,377,433
2017,180,423,186,0,40,86,147,18
2018,51,268,201,0,0,85,107,20
2019,32,113,25,0,7,158,90,135
2020,37,140,78,0,3,112,173,7
