Year,WILD_Spring_Chinook,HATC_Spring_Chinook,HATC_Fall_Chinook,UNKN_Fall_Chinook,WILD_Summer_Steelhead,HATC_Summer_Steelhead,HATC_Type S_Coho
2011,0,0,1387,713,5,2116,0
2010,0,0,2099,856,25,1640,0
2012,0,0,2171,1548,3,1608,0
1999,2,1031,3416,0,0,3819,0
2003,41,30,2919,0,41,2311,0
2000,10,667,3503,0,23,2947,21
2006,35,153,2733,0,20,1773,143
2007,51,30,5025,0,186,1739,42
2001,44,36,5755,0,67,7665,0
2002,42,357,4847,0,167,2679,5
2004,51,422,6443,0,46,2093,78
2008,40,76,4685,0,3,1714,26
1997,0,6879,1898,0,0,6209,0
2005,50,316,3078,0,348,1938,107
2009,85,86,2771,0,164,1728,1
1998,50,889,3620,0,0,2910,2
2013,0,0,1550,803,0,41,2
2014,0,0,1838,918,0,0,0
2015,0,0,1307,988,0,0,0
2016,0,0,1113,1243,0,1,0
2017,0,0,1024,1174,0,272,0
2018,0,0,1095,1031,0,340,0
2019,0,0,905,1183,0,45,0
2020,0,0,1272,1159,20,21,0
