Year,WILD_Spring_Chinook,WILD_Fall_Chinook,HATC_Spring_Chinook,HATC_Fall_Chinook,WILD_Summer_Steelhead,WILD_Winter_Steelhead,WILD_Winter-Late_Steelhead,HATC_Summer_Steelhead,HATC_Winter_Steelhead,HATC_Winter-Late_Steelhead,WILD__Sockeye,UNKN__Sockeye,WILD_Type S_Coho,WILD_Type N_Coho,HATC_Type S_Coho,HATC_Type N_Coho
2011,71,14,950,4,15,20,0,3030,1212,0,19,0,9,100,423,1637
2010,68,82,1828,84,33,62,0,9116,2891,0,8,0,43,250,4221,4084
2012,40,29,1255,35,14,0,11,4594,1098,200,3,0,11,30,76,285
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,205,705,2794,0,86,92,0,10054,2471,0,0,0,117,858,7030,7588
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,244,227,3886,0,39,85,0,9370,1783,0,0,0,55,109,3281,3857
2007,156,188,3738,0,18,73,0,3902,3292,0,12,0,79,168,5545,3357
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,527,1776,0,51,6,0,13049,523,0,0,0,40,103,2821,2292
2004,235,203,3998,0,73,96,0,12620,1839,0,5,0,162,559,11677,6098
2008,30,114,1354,0,17,37,0,7809,1297,0,19,0,114,215,12780,9837
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,167,602,1884,0,49,78,0,9116,2098,0,54,0,91,217,7138,7588
2009,23,294,1045,171,13,38,0,6624,2488,0,3,0,50,200,4339,5013
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,39,0,1617,0,3,0,21,444,246,709,0,0,0,1,0,3
2014,17,100,920,219,14,0,11,8099,278,1054,0,0,1311,142,10634,2740
2015,25,242,644,524,23,0,91,4542,1658,1278,32,0,57,27,469,1630
2016,21,86,326,156,12,0,50,6718,2035,852,0,19,1106,83,2302,4998
2017,33,189,2373,324,16,0,91,2921,2626,633,0,16,1969,211,1609,2539
2018,27,206,2013,272,19,0,110,4037,1409,1220,0,25,175,257,1007,1154
2019,23,117,759,155,7,0,72,1496,740,1005,0,12,819,257,1429,534
2020,129,339,1293,246,5,0,410,1804,618,723,0,14,3490,729,3594,1342
