Year,WILD_Fall_Chinook,HATC_Fall_Chinook,WILD_Summer_Steelhead,HATC_Summer_Steelhead,WILD_Type S_Coho,HATC_Type S_Coho
2011,442,3831,2,62,1035,2149
2010,610,2736,0,87,709,9598
2012,364,2070,9,315,501,1971
1999,0,1076,0,5,0,22417
2003,0,0,4,50,2034,30020
2000,0,1620,0,53,0,28782
2006,0,0,0,11,23,7441
2007,0,0,4,25,118,17861
2001,0,4995,0,16,0,15704
2002,0,0,0,0,271,21774
2004,0,0,0,204,238,25353
2008,0,0,4,63,658,32824
1997,0,3492,0,4,0,5934
2005,0,0,0,26,68,7883
2009,0,0,6,58,472,23370
1998,0,1040,1,25,0,14468
2013,597,3385,3,182,922,1464
2014,333,2324,10,268,1543,13376
2015,489,1805,3,154,275,1096
2016,348,1084,2,28,387,2605
2017,140,548,1,0,279,57
2018,90,1144,2,2,41,337
2019,172,2395,2,8,541,3544
2020,419,3009,5,7,798,1978
