Year,WILD_Fall_Chinook,HATC_Fall_Chinook,WILD__Coho,HATC__Coho
2011,0,8493,0,264
2010,0,15657,0,1644
2012,0,6632,0,4971
1999,0,5980,0,0
2003,0,8450,0,0
2000,0,4265,0,0
2006,0,3554,0,0
2007,0,8409,0,0
2001,0,12700,0,0
2002,0,13350,0,0
2004,0,6046,0,0
2008,0,9635,0,171
1997,0,16064,0,0
2005,0,4308,0,0
2009,0,9798,0,965
1998,0,7200,0,0
2013,0,8720,0,2832
2014,0,12437,0,3589
2015,0,6114,0,518
2016,103,4563,5406,0
2017,139,5250,2415,0
2018,367,7939,584,0
2019,353,7117,3991,0
2020,59,6056,3094,0
