Year,WILD_Summer_Chinook,HATC_Spring_Chinook,HATC_Summer_Chinook,WILD_Winter_Steelhead,HATC_Summer_Steelhead,WILD__Coho,HATC_Summer_Coho,HATC__Coho
2011,23,0,673,0,580,15,3800,22472
2010,77,0,803,0,520,78,1625,23687
2012,16,0,437,0,624,0,1588,2276
1999,0,487,0,56,0,0,7527,13262
2003,0,1250,0,36,0,0,5160,13745
2000,0,244,0,23,0,0,3794,12817
2006,0,997,0,63,615,0,1829,3750
2007,0,943,0,40,487,20,4862,5443
2001,0,995,0,45,0,0,12813,23892
2002,0,831,0,48,0,0,3744,29150
2004,0,702,0,46,440,0,6339,21944
2008,0,0,0,39,700,0,0,8
1997,0,54,0,0,0,0,1850,0
2005,0,801,0,56,189,0,7132,24136
2009,0,0,0,38,381,0,0,0
1998,0,223,0,36,61,0,1806,0
2013,25,0,535,17,302,9,2504,4496
2014,28,0,342,15,22,15,5085,13005
2015,12,0,505,16,9,33,4570,3595
2016,16,0,778,15,0,1664,2116,16332
2017,28,0,532,0,0,727,7245,17878
2018,29,0,621,0,0,55,624,9762
2019,24,0,823,0,0,20,815,4712
2020,23,0,742,0,0,31,3719,12832
