Year,WILD_Fall_Chinook,HATC_Fall_Chinook,WILD_Winter_Steelhead,WILD_Winter-Late_Steelhead,HATC_Summer_Steelhead,HATC_Winter_Steelhead,WILD__Coho,HATC__Coho,WILD__Chum
2011,152,8473,0,32,107,87,2650,19179,0
2010,400,11026,23,0,124,314,701,9129,555
2012,311,12200,0,39,174,98,6658,33793,188
1999,0,11500,0,0,0,0,0,0,0
2003,0,2500,0,0,112,8,0,0,0
2000,0,17100,0,0,0,0,0,5000,0
2006,0,0,43,0,177,55,0,0,602
2007,0,0,38,0,141,206,0,0,13
2001,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0
2004,0,0,40,0,465,95,0,0,0
2008,51,0,29,0,253,182,0,0,777
1997,0,12850,0,0,0,0,0,7400,0
2005,0,0,24,0,16,71,0,0,0
2009,50,0,7,0,147,52,0,0,178
1998,0,9800,0,0,0,1,0,3834,0
2013,337,8796,0,48,219,54,2855,20588,71
2014,163,3870,3,16,158,123,1962,14263,1519
2015,435,7342,0,35,79,27,1193,4022,58
2016,1280,11291,0,33,20,0,393,10372,0
2017,1382,15465,0,19,69,0,500,1970,0
2018,1127,10871,0,17,109,0,3407,15337,0
2019,1081,10927,0,21,117,0,1624,14999,0
2020,600,8737,0,17,62,0,2683,17858,0
