Year,WILD_Summer_Chinook,WILD_Fall_Chinook,HATC_Summer_Chinook,WILD_Summer_Steelhead,HATC_Summer_Steelhead,WILD__Sockeye,UNKN__Sockeye,WILD__Coho,WILD__Chum,WILD__Pink,WILD_Odd Year_Pink
1997,210,489,0,0,0,14,0,15152,22,1988,0
1998,86,464,0,0,0,19,0,21657,28,0,0
1999,75,458,0,59,0,4,0,12820,43,63,0
2000,144,667,0,0,0,9,0,27427,52,0,0
2001,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0
2013,151,0,6,407,415,13,0,20861,45,54657,0
2014,264,0,80,284,329,41,0,11181,21,4,0
2015,308,0,190,235,499,8,0,6507,1,17297,0
2016,280,0,30,261,416,0,29,12947,0,0,0
2017,231,0,38,164,267,0,94,4231,0,0,1205
2018,93,0,4,221,127,0,51,10733,0,0,0
2019,273,0,21,217,55,0,8,10005,0,0,734
2020,400,0,36,119,14,0,33,8206,0,0,0
