Year,WILD_Fall_Chinook,HATC_Fall_Chinook,HATC_Summer_Steelhead,HATC_Winter_Steelhead
2011,12,66,1,679
2010,5,4,5,681
2012,14,79,1,804
1999,0,0,185,307
2003,71,36,175,418
2000,0,90,212,478
2006,32,2,153,966
2007,17,16,65,755
2001,78,68,202,754
2002,88,33,106,811
2004,26,5,222,1263
2008,7,7,1,404
1997,0,0,12,27
2005,19,23,129,665
2009,9,36,2,351
1998,0,0,316,850
2013,6,24,0,580
2014,4,11,0,563
2015,18,60,0,373
2016,0,0,0,88
2017,86,55,1,266
2018,51,51,1,201
2019,29,22,0,54
2020,18,9,0,97
