Year,WILD_Spring_Chinook,HATC_Spring_Chinook,WILD_Summer_Steelhead,HATC_Summer_Steelhead
2011,336,161,201,132
2010,752,738,322,334
2012,220,232,182,213
1999,1,1,9,0
2003,77,137,96,94
2000,0,0,44,2
2006,57,70,89,41
2007,99,52,14,21
2001,42,11,28,0
2002,175,580,255,173
2004,309,103,29,5
2008,92,116,11,9
1997,0,0,0,0
2005,127,94,42,14
2009,327,410,88,257
1998,0,31,0,0
2013,226,154,83,233
2014,317,110,180,257
2015,274,358,342,175
2016,115,299,328,150
2017,17,104,70,78
2018,62,297,84,206
2019,41,115,99,80
2020,34,12,53,27
