Year,WILD_Fall_Chinook,HATC_Fall_Chinook,HATC_Winter_Steelhead,WILD__Coho,HATC__Coho,WILD__Pink
1997,0,4280,2,0,16600,0
1998,0,3828,92,0,8128,0
1999,0,3434,122,0,9000,0
2000,0,1589,91,0,39319,0
2001,0,2572,102,0,34300,0
2002,0,2948,90,0,48179,0
2003,0,1984,20,0,38592,0
2004,0,2070,69,0,20721,0
2005,0,2404,42,0,24224,383
2006,0,4629,51,0,9575,0
2007,0,4563,48,0,10992,46
2008,0,3096,16,0,6279,0
2009,0,3042,0,0,7560,1502
2010,17,2366,3,32,1144,0
2011,27,2320,9,13,7368,250
2012,15,963,0,101,5338,0
2013,8,1571,0,31,6658,84
2014,18,2659,0,16,4390,0
2015,8,2884,0,72,6145,705
2016,42,5337,0,89,23973,0
2017,25,5599,0,38,6559,0
2018,12,5452,0,80,16947,0
2019,12,5084,0,28,8684,0
2020,13,5098,0,26,8890,0
