Year,HATC_Summer_Chinook,HATC_Fall_Chinook,HATC_Summer_Steelhead,HATC_Winter_Steelhead,HATC__Coho,WILD__Pink
1997,916,2509,0,0,20000,0
1998,1008,3739,0,0,19959,0
1999,1675,4700,0,0,8200,655
2000,3493,1931,249,0,16800,0
2001,3143,0,0,0,12900,0
2002,2542,24,0,0,11836,0
2003,3603,0,20,63,13047,0
2004,6243,0,0,0,14852,0
2005,3563,0,197,0,13191,0
2006,0,0,143,0,0,0
2007,0,0,113,0,0,781
2008,0,0,594,30,0,0
2009,0,0,484,68,0,2706
2010,2721,0,354,50,3869,0
2011,3023,0,332,109,7598,230
2012,6256,0,246,48,10247,0
2013,4783,0,162,65,9000,258
2014,4085,0,668,208,7632,0
2015,3020,0,802,189,1611,1600
2016,7973,0,1029,65,8123,0
2017,6665,0,337,182,4566,0
2018,4464,0,406,136,4053,0
2019,4954,0,195,24,4612,0
2020,3848,0,305,93,8729,0
