Year,WILD_Fall_Chinook,HATC_Fall_Chinook,WILD_Summer_Steelhead,HATC_Summer_Steelhead,WILD_Type N_Coho,HATC_Type N_Coho
2011,0,0,0,0,0,0
2010,0,0,0,0,0,0
2012,0,0,0,0,0,0
1999,0,0,0,0,0,0
2003,0,0,0,0,0,0
2000,0,0,0,0,0,0
2006,0,0,0,0,0,0
2007,0,0,0,0,0,0
2001,0,0,0,0,0,0
2002,0,0,0,0,0,0
2004,0,0,0,0,0,0
2008,0,0,0,0,0,0
1997,0,0,0,0,0,0
2005,0,0,0,0,0,0
2009,0,0,0,0,0,0
1998,0,0,0,0,0,0
2013,0,0,0,0,0,0
2014,921,9259,72,364,54,1074
2015,1084,15459,82,371,7,24
2016,399,6284,22,422,0,7
2017,339,2699,16,78,23,448
2018,130,1342,40,205,2,102
2019,309,2339,25,72,15,50
2020,511,3880,37,87,26,1112
