Year,WILD_Spring_Chinook,WILD_Fall_Chinook,HATC_Spring_Chinook,HATC_Fall_Chinook,WILD_Summer_Steelhead,WILD_Winter_Steelhead,WILD_Winter-Late_Steelhead,HATC_Summer_Steelhead,HATC_Winter_Steelhead,HATC_Winter-Late_Steelhead,WILD__Sockeye,UNKN__Sockeye,WILD_Type N_Coho,HATC_Type N_Coho,WILD__Chum,WILD__Pink
1997,0,0,8270,2686,0,16,0,1092,481,0,18,0,0,15010,21,0
1998,0,0,831,2706,12,118,0,1834,1469,0,7,0,0,17831,6,0
1999,0,0,1339,3117,5,152,0,1258,1144,0,3,0,5453,34134,3,2
2000,0,0,1426,3029,5,406,0,2150,1761,0,0,0,2202,49079,18,0
2001,0,0,1309,7733,1,174,236,1319,1833,838,22,0,4588,68472,2,0
2002,422,0,2713,9266,0,246,500,8077,1926,4429,0,0,8842,72857,0,0
2003,562,0,10525,6830,0,233,1101,3198,1026,2516,11,0,11454,39513,12,0
2004,269,0,12554,4962,0,149,553,8806,2185,1875,6,0,5275,43388,8,0
2005,143,21,7503,5813,0,260,298,3646,1221,1044,24,0,6200,33562,12,0
2006,91,77,5377,4204,0,95,611,8974,2314,987,9,0,7181,53461,6,0
2007,70,237,3086,3568,0,126,711,1841,1909,1036,11,0,4932,37704,5,0
2008,73,314,1895,4309,8,67,567,6858,1083,1152,10,0,6579,79796,5,2
2009,99,482,3604,9818,0,38,634,5146,1200,4819,14,0,7724,76224,9,8
2010,115,2395,5917,11899,0,71,794,8969,1851,8190,18,0,4179,75701,6,3
2011,74,4306,1992,12559,0,57,814,7062,1461,4984,6,0,10303,25553,3,24
2012,237,1953,5589,5119,16,77,948,10600,1554,5691,25,0,4350,10658,5,0
2013,312,3308,3762,6001,2,34,947,3894,583,2512,17,0,2752,16279,15,15
2014,240,2263,4591,6521,3,8,395,11732,1218,4415,21,0,16184,61718,4,0
2015,197,3481,17408,4591,1,23,498,8010,491,4680,15,0,2738,4540,2,7
2016,201,3091,14594,2879,4,0,473,8749,0,4548,0,15,4174,23248,7,0
2017,151,1898,8693,1816,2,0,372,688,0,1733,0,18,11246,20386,18,0
2018,154,936,2591,1003,8,0,350,1319,0,2335,0,14,2619,11918,13,0
2019,195,924,1076,1323,6,0,311,1898,0,1192,0,3,5569,14939,10,0
2020,370,2579,471,2444,3,0,848,4684,0,4019,0,8,12160,26618,3,0
