Year,WILD_Spring_Chinook,WILD_Summer_Chinook,HATC_Spring_Chinook,HATC_Summer_Chinook,WILD_Summer_Steelhead,HATC_Summer_Steelhead,WILD__Sockeye,HATC__Sockeye,WILD_Type S_Coho,HATC_Type S_Coho
1997,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,2637
2004,0,0,0,0,0,0,0,0,0,1059
2005,196,0,88,0,0,0,0,0,51,229
2006,0,576,0,0,0,0,0,0,0,0
2007,0,498,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0
2010,1022,3079,4138,343,771,528,34522,1322,530,0
2011,1202,1321,2248,134,410,297,3642,284,0,134
2012,94,545,80,559,166,679,1259,18,0,0
2013,134,526,69,1971,157,134,1229,24,0,0
2014,117,792,306,481,130,140,923,19,0,0
2015,166,624,167,272,121,121,2527,167,0,0
2016,150,805,154,526,95,82,1480,6,0,0
2017,153,570,150,579,122,98,875,0,0,0
2018,115,373,145,548,74,75,1265,0,0,0
2019,163,451,172,826,128,75,1622,0,0,0
2020,149,390,158,570,89,63,2750,0,0,0
