Year,HATC_Fall_Chinook,HATC_Winter_Steelhead,WILD__Coho,HATC__Coho,WILD__Chum
1997,0,0,0,0,0
1998,0,0,0,0,0
1999,0,0,0,0,0
2000,0,0,0,0,0
2001,0,112,0,35,0
2002,0,400,0,2200,0
2003,0,0,0,0,0
2004,0,0,0,0,0
2005,0,0,0,0,0
2006,0,0,0,0,0
2007,0,0,0,0,0
2008,0,0,0,0,0
2009,0,0,0,0,0
2010,823,0,0,0,0
2011,906,0,0,0,0
2012,917,9,56,188,233
2013,1617,30,180,665,92
2014,1531,4,52,42,104
2015,1556,0,4,0,109
2016,605,0,0,0,0
2017,1081,0,0,106,0
2018,2366,0,0,0,0
2019,1903,0,0,0,0
2020,659,0,0,0,0
