Year,WILD_Fall_Chinook,HATC_Fall_Chinook,WILD_Winter_Steelhead,HATC_Winter_Steelhead,WILD__Coho,WILD_Late_Coho,HATC__Coho,HATC_Late_Coho,HATC__Chum,UNKN__Chum
1997,0,1528,0,18,0,0,2220,70,0,0
1998,0,2208,0,120,0,0,2079,100,0,0
1999,0,1998,0,61,0,0,8872,468,0,0
2000,0,2306,0,305,0,0,13713,1772,0,0
2001,0,3148,0,359,0,0,15464,756,0,0
2002,0,4513,7,321,0,61,13638,2879,0,0
2003,0,4162,14,655,168,99,14599,2469,0,0
2004,0,7567,138,996,70,166,6361,1565,0,0
2005,0,6618,20,748,46,94,18313,611,3,0
2006,0,6796,62,1091,242,71,2842,498,23,0
2007,0,3877,12,775,74,33,3778,294,4,0
2008,0,3941,13,531,94,89,2824,530,42,0
2009,0,4843,6,288,91,214,6967,380,84,0
2010,465,5530,14,1438,82,156,7768,2620,257,0
2011,472,5145,8,529,248,94,6386,634,46,0
2012,150,2431,13,873,117,111,2099,677,298,0
2013,89,2723,8,395,182,171,1867,367,487,0
2014,144,5121,3,512,271,421,18304,3261,128,0
2015,728,14156,25,1037,100,125,2879,1563,1831,0
2016,449,4532,6,1037,177,84,4827,2561,0,2039
2017,777,7098,0,576,198,88,2317,618,0,351
2018,1040,7623,0,458,51,98,2774,521,0,1090
2019,575,2299,0,310,334,408,7378,2374,0,864
2020,884,1241,0,532,1943,175,9733,1583,0,3452
