Year,WILD_Fall_Chinook,HATC_Fall_Chinook,WILD__Coho,HATC__Coho,WILD__Chum,UNKN__Chum
1997,0,755,0,900,665,0
1998,0,1135,0,1275,290,0
1999,0,1025,0,5200,452,0
2000,0,900,150,4800,200,0
2001,0,1650,0,19300,350,0
2002,0,1300,0,3000,0,0
2003,0,0,0,0,0,0
2004,0,1556,100,3000,626,0
2005,0,202,0,4000,0,0
2006,0,0,0,0,0,0
2007,0,0,0,0,0,0
2008,0,0,0,0,6,0
2009,0,0,115,0,30,0
2010,0,2330,89,12156,167,0
2011,85,2130,5,0,371,0
2012,21,1125,0,0,339,0
2013,147,4774,85,0,340,0
2014,38,3363,39,0,365,0
2015,168,2218,6,0,364,0
2016,162,1825,47,19,0,740
2017,117,3120,100,0,0,588
2018,280,4376,121,19,0,1623
2019,279,4025,275,46,0,1513
2020,840,8120,86,49,0,3245
