Year,HATC_Spring_Chinook,HATC_Fall_Chinook,HATC_Summer_Steelhead,HATC_Type S_Coho
1997,631,904,1537,0
1998,1422,331,1008,0
1999,913,3169,3319,0
2000,503,0,37,0
2001,1724,1761,575,0
2002,212,1369,413,0
2003,23,1021,1664,27
2004,0,824,525,0
2005,0,2069,210,4
2006,0,117,424,1
2007,278,29,1,0
2008,235,0,176,0
2009,6,105,398,78
2010,117,7643,266,0
2011,0,5634,141,62
2012,0,5324,206,6
2013,0,16437,320,1
2014,0,13397,1178,116
2015,0,14976,824,18
2016,0,5292,545,1
2017,0,1217,481,21
2018,0,512,259,11
2019,0,1650,354,42
2020,0,6603,473,39
