Year,WILD_Winter-Late_Steelhead,HATC_Winter-Late_Steelhead,WILD__Coho,WILD_Late_Coho,HATC__Coho,HATC_Late_Coho
1997,0,0,0,0,0,0
1998,0,0,0,0,0,0
1999,0,0,0,0,0,0
2000,0,0,0,0,0,0
2001,0,0,0,0,0,0
2002,0,0,0,0,0,0
2003,0,0,0,0,0,0
2004,0,0,0,0,0,0
2005,0,0,0,0,0,0
2006,0,0,0,0,0,0
2007,0,0,8,1,115,15
2008,0,0,32,2,324,79
2009,0,0,0,4,0,36
2010,0,0,27,0,1560,1562
2011,90,1244,50,117,1272,2534
2012,147,2182,119,20,1118,612
2013,109,2265,56,21,1484,257
2014,84,1887,102,18,1964,461
2015,164,2904,14,64,654,619
2016,46,1489,5,8,1090,395
2017,48,1817,6,3,1007,165
2018,29,2420,9,5,706,76
2019,26,612,21,6,472,134
2020,33,1793,4,13,425,155
