Year,WILD_Fall_Chinook,HATC_Fall_Chinook,WILD_Summer_Steelhead,HATC_Summer_Steelhead,WILD_Type N_Coho,HATC_Type N_Coho,WILD__Chum
1997,0,6095,0,0,0,610,0
1998,0,4139,0,0,0,1200,0
1999,0,0,0,0,0,0,0
2000,0,1969,0,0,0,8153,0
2001,0,7324,0,0,0,18457,0
2002,0,7553,0,0,0,19265,184
2003,0,9638,34,0,0,0,74
2004,0,10658,0,0,0,4110,0
2005,0,6305,0,0,0,100,20
2006,0,5028,0,0,0,11016,56
2007,0,4645,0,0,54,5049,0
2008,0,6468,0,0,101,6009,0
2009,0,7862,0,0,1490,12000,0
2010,0,11183,0,0,401,2526,0
2011,349,3945,6,7,77,1585,176
2012,293,4812,38,17,54,1305,140
2013,634,8597,56,38,92,2414,150
2014,53,97,132,27,75,9981,165
2015,26,337,165,6,34,818,130
2016,30,1210,110,1,52,2469,184
2017,25,144,91,10,105,2856,157
2018,36,72,146,7,51,2400,182
2019,165,1555,86,0,145,1987,178
2020,121,612,45,5,92,5056,170
