Year,WILD_Spring_Chinook,WILD_Summer_Chinook,HATC_Spring_Chinook,HATC_Summer_Chinook,WILD_Summer_Steelhead,HATC_Summer_Steelhead
1997,0,0,0,0,0,0
1998,0,0,0,0,0,0
1999,0,0,0,0,0,0
2000,0,0,0,0,0,0
2001,0,0,0,0,0,0
2002,0,0,0,0,0,0
2003,0,0,0,0,0,0
2004,0,0,0,0,0,0
2005,0,0,0,0,0,0
2006,0,0,0,0,0,0
2007,0,0,0,0,0,0
2008,0,0,0,0,0,0
2009,0,0,0,0,0,0
2010,0,404,0,3710,113,1195
2011,0,242,0,2455,88,566
2012,0,385,0,4764,60,482
2013,0,380,0,5093,197,312
2014,0,548,0,2769,0,574
2015,0,177,0,1775,0,543
2016,84,1823,501,1926,2,388
2017,67,1029,443,2952,0,51
2018,0,0,0,0,0,0
2019,0,0,0,0,0,0
2020,0,0,0,0,0,0
